,response,points,points_after,energy,energy_after,reward,energy_cost,trial,segment,segment_after,transition,reaction_time,timeout,energy_out,stimulus_onset,response_onset,selection_onset,feedback_onset,iti_onset,vpn,dv_planning_old,dv_planning,dv_myopic_planning,dv_simple,dv_OCR,dv_AVGRR,conflict_planning_old,conflict_planning,conflict_myopic_planning,is_full_energy,is_low_energy_LC,is_low_energy_HC,is_basic_1,is_basic_2,is_basic_3,is_basic_4,is_basic,is_1,is_2,is_3,is_4,is_23,is_14,index
15,1,17,17,0,1,2,1,3,0,1,2,0.048891000000000004,0,0,1226.4,1227.0,1227.0,1228.0,1229.1,122,-1.666666666666667,-1.0810546875,-1.6666666666666667,-0.5,0.33333333333333326,0.6111111111111112,-1.666666666666667,-1.0810546875,-1.6666666666666667,0,1,0,0,0,0,0,0,0,1,0,0,1,0,15
16,1,17,17,1,2,4,2,0,1,1,3,0.021322999999999998,0,0,1230.1,1230.6,1230.6,1231.6,1232.7,122,-3.071858723958332,-2.2638778686523438,-3.333333333333334,1.5,0.33333333333333326,0.75,-3.071858723958332,-2.2638778686523438,-3.333333333333334,0,0,1,0,0,0,0,0,0,0,0,1,0,1,16
17,1,17,17,2,3,1,2,1,1,1,3,0.78764,0,0,1233.7,1234.2,1235.0,1236.0,1237.0,122,-2.4404296875,-2.371856689453125,-4.0,-1.5,-1.1666666666666667,-0.75,-2.4404296875,-2.371856689453125,-4.0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,17
18,1,17,17,3,4,3,2,2,1,1,3,1.1282,0,0,1238.1,1238.6,1239.7,1240.7,1241.8,122,-0.25390625,-0.1624755859375,-2.0,0.5,-0.16666666666666674,0.25,-0.25390625,-0.1624755859375,-2.0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,18
19,1,17,17,4,5,4,2,3,1,1,3,0.71729,0,0,1242.8,1243.3,1244.0,1245.0,1246.1,122,0.9947916666666661,1.175048828125,-1.0,1.5,0.33333333333333326,0.75,-0.9947916666666661,-1.175048828125,-1.0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,19
20,0,17,20,5,3,3,2,0,1,0,1,0.8257399999999999,0,0,1247.1,1247.6,1248.4,1249.4,1250.5,122,0.4264322916666643,0.5401496887207031,0.48958333333333215,0.5,-0.16666666666666674,-0.16666666666666674,-0.4264322916666643,-0.5401496887207031,-0.48958333333333215,0,0,0,0,0,1,0,1,0,0,1,0,1,0,20
21,0,20,23,3,1,3,2,1,1,0,1,0.8354799999999999,0,0,1251.5,1252.0,1252.8,1253.9,1254.9,122,-0.81396484375,-0.3565673828125,-2.0,0.5,-0.16666666666666674,-0.25,-0.81396484375,-0.3565673828125,-2.0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,21
22,0,23,23,1,1,2,2,2,1,0,1,0.67282,0,1,1255.9,1256.4,1257.1,1258.1,1259.6,122,-3.140625,-2.5302734375,-3.333333333333333,-0.5,-0.6666666666666667,-0.875,-3.140625,-2.5302734375,-3.333333333333333,0,0,1,0,0,0,0,0,0,1,0,0,1,0,22
23,1,23,23,1,2,1,2,3,1,0,1,3.3819,0,0,1260.7,1261.2,1264.6,1265.6,1266.6,122,-3.53125,-2.9638671875,-3.3333333333333335,-1.5,-1.1666666666666667,-1.5833333333333335,-3.53125,-2.9638671875,-3.3333333333333335,0,0,1,0,0,0,0,0,1,0,0,0,0,1,23
24,0,23,26,2,1,3,1,0,0,0,0,1.161,0,0,1267.6,1268.1,1269.3,1270.3,1271.4,122,0.01416015625,0.3355712890625,-0.375,0.5,1.3333333333333333,0.5,-0.01416015625,-0.3355712890625,-0.375,0,0,0,0,0,1,0,1,0,0,1,0,1,0,24
