,response,points,points_after,energy,energy_after,reward,energy_cost,trial,segment,segment_after,transition,reaction_time,timeout,energy_out,stimulus_onset,response_onset,selection_onset,feedback_onset,iti_onset,vpn,dv_planning_old,dv_planning,dv_myopic_planning,dv_simple,dv_OCR,dv_AVGRR,conflict_planning_old,conflict_planning,conflict_myopic_planning,is_full_energy,is_low_energy_LC,is_low_energy_HC,is_basic_1,is_basic_2,is_basic_3,is_basic_4,is_basic,is_1,is_2,is_3,is_4,is_23,is_14,index
237,1.0,323,323,0,1,3,2,1,1,0,1,0.47913,0,0,43567.0,43568.0,43568.0,43573.0,43574.0,105,-1.4244791666666679,-1.1396484375,-1.6666666666666665,0.5,-0.16666666666666674,-0.25,-1.4244791666666679,-1.1396484375,-1.6666666666666665,0,0,1,0,0,0,0,0,0,0,1,0,1,0,237
238,1.0,323,323,1,2,1,2,2,1,0,1,3.2981,0,0,43577.0,43578.0,43581.0,43585.0,43586.0,105,-3.140625,-2.5302734375,-3.333333333333333,-1.5,-1.1666666666666667,-1.375,-3.140625,-2.5302734375,-3.333333333333333,0,0,1,0,0,0,0,0,1,0,0,0,0,1,238
239,0.0,323,327,2,0,4,2,3,1,0,1,0.54982,0,0,43590.0,43591.0,43591.0,43593.0,43594.0,105,-0.9557291666666679,-0.103515625,-1.0,1.5,0.33333333333333326,-0.08333333333333348,-0.9557291666666679,-0.103515625,-1.0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,239
0,1.0,0,0,3,4,2,1,0,0,1,2,1.2798,0,0,45812.0,45812.0,45813.0,45818.0,45819.0,106,-0.376953125,-0.21881103515625,-1.0104166666666679,-0.5,0.33333333333333326,0.33333333333333326,-0.376953125,-0.21881103515625,-1.0104166666666679,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
1,0.0,0,3,4,3,3,1,1,0,1,2,0.65971,0,0,45822.0,45823.0,45823.0,45827.0,45828.0,106,0.8196614583333321,1.080810546875,0.16666666666666785,0.5,1.3333333333333333,1.409090909090909,-0.8196614583333321,-1.080810546875,-0.16666666666666785,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1
2,0.0,3,7,3,2,4,1,2,0,1,2,0.37532,0,0,45832.0,45832.0,45833.0,45834.0,45835.0,106,1.6640625000000018,1.931884765625,0.6666666666666679,1.5,2.333333333333333,2.5,-1.6640625000000018,-1.931884765625,-0.6666666666666679,0,0,0,0,0,0,1,1,0,0,0,1,0,1,2
3,0.0,7,11,2,1,4,1,3,0,1,2,0.6947399999999999,0,0,45840.0,45841.0,45841.0,45844.0,45845.0,106,1.877604166666666,1.72412109375,0.666666666666667,1.5,2.333333333333333,2.611111111111111,-1.877604166666666,-1.72412109375,-0.666666666666667,0,0,0,0,0,0,1,1,0,0,0,1,0,1,3
4,1.0,11,11,1,2,1,2,0,1,1,3,0.66343,0,0,45848.0,45849.0,45850.0,45852.0,45853.0,106,-3.071858723958332,-2.2638778686523438,-3.333333333333334,-1.5,-1.1666666666666667,-0.75,-3.071858723958332,-2.2638778686523438,-3.333333333333334,0,0,1,0,0,0,0,0,1,0,0,0,0,1,4
5,0.0,11,14,2,0,3,2,1,1,1,3,0.5795399999999999,0,0,45856.0,45857.0,45857.0,45861.0,45862.0,106,-0.4404296875,-0.371856689453125,-2.0,0.5,-0.16666666666666674,0.25,-0.4404296875,-0.371856689453125,-2.0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,5
6,1.0,14,14,0,1,4,2,2,1,1,3,1.2051,0,0,45867.0,45867.0,45868.0,45871.0,45872.0,106,-1.666666666666666,-1.171630859375,-1.6666666666666667,1.5,0.33333333333333326,0.75,-1.666666666666666,-1.171630859375,-1.6666666666666667,0,0,1,0,0,0,0,0,0,0,0,1,0,1,6
