,mu_beta_dv,mu_theta_basic,theta_low_energy_LC,theta_low_energy_HC
38,3.1404330532284854,-0.354904748641394,-8.130577691287016,-6.869513140712186
39,2.9573218952104257,-0.33824407947678675,-7.901287156302733,-6.6873324057401184
40,3.1832172120121123,-0.35401681434111426,-7.548392365133774,-6.69031541794034
41,2.9622042653088676,-0.17603097208546248,-8.13808313956734,-7.012796468972517
42,3.2911223883944127,-0.3328791949804922,-8.965835476632478,-7.044849568595505
43,2.9491736591698166,-0.4540495625792574,-8.834945562999458,-6.739128984207344
44,3.1406423775789074,-0.4116205130099251,-9.043598252586882,-6.809629045809383
45,2.913474352610149,-0.35977981569296696,-7.6066683071882775,-6.853110148116931
46,3.1471197903529498,-0.2127750711456347,-7.446934663497388,-6.802692514057965
47,3.1133478351482915,-0.18490676367504455,-8.108521887884285,-6.764529774686599
48,3.0357935229764945,-0.23956186392217577,-7.50082904048521,-6.465944665296598
49,3.1221064511116867,-0.3501072592930367,-7.925205001610876,-7.098467305733266
50,2.819205191844281,-0.29355094066054804,-7.633270849900111,-6.975546505202159
51,3.164469487145594,-0.38131598698303404,-8.579291868847973,-6.85946849395982
52,3.167376416480772,-0.3271495983655354,-7.5892904723701164,-6.4644518640924575
53,2.9436226635783718,-0.3262422542843368,-8.272523690589296,-6.659348634510537
54,3.1180233545815312,-0.20066124545196212,-7.518750960092731,-6.83338782020272
55,3.085135552103617,-0.33353152838025724,-7.740101468854944,-6.515823732710011
56,3.287337769801119,-0.5357038650247755,-7.8817338736706475,-6.629295569775564
57,3.123782369934346,-0.3088970113406124,-7.705644877702065,-6.405467492724143
58,2.849757038502932,-0.2605880376497015,-8.291939997070573,-6.744744098328851
59,2.6535425415470044,-0.3732741805831509,-8.0235161947629,-6.470498035740816
60,3.2764674512368943,-0.33625581898207835,-8.470266005905723,-7.185165349199419
61,3.1521395948625424,-0.1441033359026705,-9.046029046747401,-6.686194508458377
62,3.340231957085767,-0.3107271401543438,-8.23043468780393,-7.102069887550413
63,3.10717145099533,-0.29555111479324087,-7.681328322783242,-6.694470189407404
64,3.1648255245338444,-0.320942422487526,-8.80506768747326,-6.920571856010516
65,3.127620885338923,-0.32848223751416544,-7.831815575616199,-6.81985955154349
66,3.121110308165448,-0.15984392146624138,-8.187841946180582,-7.0211011621660715
67,3.1519988350749704,-0.3190429961365231,-7.795332507881038,-6.529355715441933
68,2.9765026020631002,-0.32031916731012444,-8.886485901006607,-7.353717865890056
69,2.953073775763325,-0.3598233195229361,-7.837207719336853,-6.878964116551108
